algorithm,data_type,array_size,max_string_size,average_time_microseconds,average_char_comparisons
StandardMergeSort,almost_sorted,2700,200,4118.5,35244
StandardQuickSort,random,2700,200,21833.8,468651
StandardQuickSort,reversed,2700,200,178420,4266442
StandardQuickSort,almost_sorted,2700,200,22480.3,468875
StringMergeSort,random,2700,200,15994.5,24684
StringMergeSort,reversed,2700,200,13870.1,10813
StringMergeSort,almost_sorted,2700,200,14629,13615
StringQuickSort,random,2700,200,2411.8,47408
StringQuickSort,reversed,2700,200,6704.5,125296
StringQuickSort,almost_sorted,2700,200,3857.3,119190
RadixSort,random,2700,200,7699.4,0
RadixSort,reversed,2700,200,7687.6,0
RadixSort,almost_sorted,2700,200,6990,0
RadixSortWithQuickSwitch,random,2700,200,1369.8,18488
RadixSortWithQuickSwitch,reversed,2700,200,2323.2,43858
RadixSortWithQuickSwitch,almost_sorted,2700,200,1400.4,26575
StandardMergeSort,random,2800,200,4928.4,40891
StandardMergeSort,reversed,2800,200,3817.7,26400
StandardMergeSort,almost_sorted,2800,200,4334.7,36326
StandardQuickSort,random,2800,200,22578.8,488889
StandardQuickSort,reversed,2800,200,189092,4566118
StandardQuickSort,almost_sorted,2800,200,21847.3,488539
StringMergeSort,random,2800,200,11873,25762
StringMergeSort,reversed,2800,200,10300.3,11252
StringMergeSort,almost_sorted,2800,200,10918.1,13989
StringQuickSort,random,2800,200,1791.7,48238
StringQuickSort,reversed,2800,200,5184.8,133492
StringQuickSort,almost_sorted,2800,200,3303.5,146143
RadixSort,random,2800,200,5842.7,0
RadixSort,reversed,2800,200,5840.2,0
RadixSort,almost_sorted,2800,200,5926.4,0
RadixSortWithQuickSwitch,random,2800,200,1441.4,19277
RadixSortWithQuickSwitch,reversed,2800,200,2473.8,45633
RadixSortWithQuickSwitch,almost_sorted,2800,200,1492.2,27544
StandardMergeSort,random,2900,200,5230.4,42661
StandardMergeSort,reversed,2900,200,4075.1,27258
StandardMergeSort,almost_sorted,2900,200,4626.2,38003
StandardQuickSort,random,2900,200,24770.5,511945
